from,to,text,where,time,movie_num,text_processed
anakin,,I shouldn't...,39 INT. GENERAL'S QUARTERS-TRADE FEDERATION CRUISER,,3,i shouldnt
palpatine,,Do it!!,39 INT. GENERAL'S QUARTERS-TRADE FEDERATION CRUISER,,3,do it
anakin,,... I couldn't stop myself.,39 INT. GENERAL'S QUARTERS-TRADE FEDERATION CRUISER,,3, i couldnt stop myself
palpatine,,"You did well, Anakin. He was too dangerous to be kept alive.",39 INT. GENERAL'S QUARTERS-TRADE FEDERATION CRUISER,,3,you did well anakin he was too dangerous to be kept alive
anakin,,"Yes, but he was an unarmed prisoner.",39 INT. GENERAL'S QUARTERS-TRADE FEDERATION CRUISER,,3,yes but he was an unarmed prisoner
anakin,,"(continuing) I shouldn't have done that, Chancellor. It's not the Jedi way.",39 INT. GENERAL'S QUARTERS-TRADE FEDERATION CRUISER,,3,continuing i shouldnt have done that chancellor its not the jedi way
palpatine,,"It is only natural. He cut off your arm, and you wanted revenge. It wasn't the first time, Anakin. Remember what you told me about your mother and the Sand People. Now, we must leave before more security droids arrive.",39 INT. GENERAL'S QUARTERS-TRADE FEDERATION CRUISER,,3,it is only natural he cut off your arm and you wanted revenge it wasnt the first time anakin remember what you told me about your mother and the sand people now we must leave before more security droids arrive
palpatine,,"(continuing) Anakin, there is no time. We must get off the ship before it's too late.",39 INT. GENERAL'S QUARTERS-TRADE FEDERATION CRUISER,,3,continuing anakin there is no time we must get off the ship before its too late
anakin,,"He seems to be all right. No broken bones, breathing's all right.",39 INT. GENERAL'S QUARTERS-TRADE FEDERATION CRUISER,,3,he seems to be all right no broken bones breathings all right
palpatine,,"Leave him, or we'll never make it.",39 INT. GENERAL'S QUARTERS-TRADE FEDERATION CRUISER,,3,leave him or well never make it
anakin,,His fate will be the same as ours.,39 INT. GENERAL'S QUARTERS-TRADE FEDERATION CRUISER,,3,his fate will be the same as ours
general grievous,,Prepare for attack.,40 INT. BRIDGE-TRADE FEDERATION CRUISER,,3,prepare for attack
pilot,,All batteries fire! Fire!,40 INT. BRIDGE-TRADE FEDERATION CRUISER,,3,all batteries fire fire
anakin,,"The elevator's not working, (into his comlink) ARTOO...",42 INT. ELEVATOR LOBBY-GENERAL'S QUARTERS-TRADE FEDERATION CRUISER,,3,the elevators not working into his comlink artoo
anakin,,(continuing)... Activate Elevator 3224.,42 INT. ELEVATOR LOBBY-GENERAL'S QUARTERS-TRADE FEDERATION CRUISER,,3,continuing activate elevator 
anakin,,"(continuing) ARTOO... do you copy? ARTOO, come in!",42 INT. ELEVATOR LOBBY-GENERAL'S QUARTERS-TRADE FEDERATION CRUISER,,3,continuing artoo do you copy artoo come in
pilot,,Reverse stabilizers.,43 INT. BRIDGE-TRADE FEDERATION CRUISER,,3,reverse stabilizers
pilot,,Magnetize! Magnetize!,47 INT. BRIDGE-TRADE FEDERATION CRUISER,,3,magnetize magnetize
anakin,,"We can't wait. Come on, we have to be fast.",50 INT. ELEVATOR LOBBY-GENERAL'S QUARTERS-TRADE FEDERATION CRUISER,,3,we cant wait come on we have to be fast
general grievous,,Fire the emergency booster engines.,51 INT. BRIDGE-TRADE FEDERATION CRUISER,,3,fire the emergency booster engines
pilot,,"Leveling out, sir.",51 INT. BRIDGE-TRADE FEDERATION CRUISER,,3,leveling out sir
anakin,,Easy... . We're in a bit of a situation.,"53 INT. ELEVATOR SHAFT, VERTICAL-TRADE FEDERATION CRUISER",,3,easy  were in a bit of a situation
obi-wan,,Did I miss something?,"53 INT. ELEVATOR SHAFT, VERTICAL-TRADE FEDERATION CRUISER",,3,did i miss something
anakin,,Hold on.,"53 INT. ELEVATOR SHAFT, VERTICAL-TRADE FEDERATION CRUISER",,3,hold on
obi-wan,,What is that?,"53 INT. ELEVATOR SHAFT, VERTICAL-TRADE FEDERATION CRUISER",,3,what is that
obi-wan,,(continuing) Oops.,"53 INT. ELEVATOR SHAFT, VERTICAL-TRADE FEDERATION CRUISER",,3,continuing oops
anakin,,"ARTOO, ARTOO, shut down the elevator!","53 INT. ELEVATOR SHAFT, VERTICAL-TRADE FEDERATION CRUISER",,3,artoo artoo shut down the elevator
obi-wan,,Too late! Jump!,"53 INT. ELEVATOR SHAFT, VERTICAL-TRADE FEDERATION CRUISER",,3,too late jump
obi-wan,,Let's see if we can find something in the hangar bay that's still flyable. Come on.,54 INT. ELEVATOR LOBBY-TRADE FEDERATION CRUISER,,3,lets see if we can find something in the hangar bay thats still flyable come on
anakin,,"ARTOO, get down here. ARTOO, do you copy?",54 INT. ELEVATOR LOBBY-TRADE FEDERATION CRUISER,,3,artoo get down here artoo do you copy
obi-wan,,None of those ships will get us anywhere.,57 INT. DOORWAY TO HANGAR BAY-TRADE FEDERATION CRUISER,,3,none of those ships will get us anywhere
anakin,,I agree.,57 INT. DOORWAY TO HANGAR BAY-TRADE FEDERATION CRUISER,,3,i agree
palpatine,,What are we going to do?,57 INT. DOORWAY TO HANGAR BAY-TRADE FEDERATION CRUISER,,3,what are we going to do
anakin,,I don't know.,57 INT. DOORWAY TO HANGAR BAY-TRADE FEDERATION CRUISER,,3,i dont know
obi-wan,,Don't look at me. I don't know.,57 INT. DOORWAY TO HANGAR BAY-TRADE FEDERATION CRUISER,,3,dont look at me i dont know
anakin,,"Here, Chancellor, lock this around your waist, and hold on.",57 INT. DOORWAY TO HANGAR BAY-TRADE FEDERATION CRUISER,,3,here chancellor lock this around your waist and hold on
obi-wan,,We'll head toward the bridge and see if we can find an escape pod.,57 INT. DOORWAY TO HANGAR BAY-TRADE FEDERATION CRUISER,,3,well head toward the bridge and see if we can find an escape pod
anakin/obi-wan,,"Well, that was close.",59 INT. HANGAR DOORWAY-TRADE FEDERATION CRUISER,,3,well that was close
bodyguard,,"General, we found the Jedi. They're in hallway 328.",60 INT. BRIDGE-TRADE FEDERATION CRUISER,,3,general we found the jedi theyre in hallway 
general grievous,,Activate ray shields.,60 INT. BRIDGE-TRADE FEDERATION CRUISER,,3,activate ray shields
anakin,,Ray shields!,61 INT. HALLWAY-TRADE FEDERATION CRUISER,,3,ray shields
obi-wan,,"Wait a minute, how'd this happen! We're smarter than this.",61 INT. HALLWAY-TRADE FEDERATION CRUISER,,3,wait a minute howd this happen were smarter than this
anakin,,"Apparently not, Master. This is the oldest trap in the book... Well... I was distracted.",61 INT. HALLWAY-TRADE FEDERATION CRUISER,,3,apparently not master this is the oldest trap in the book well i was distracted
obi-wan,,"Oh, so all of a sudden it's my fault.",61 INT. HALLWAY-TRADE FEDERATION CRUISER,,3,oh so all of a sudden its my fault
anakin,,You're the Master. I'm just a hero.,61 INT. HALLWAY-TRADE FEDERATION CRUISER,,3,youre the master im just a hero
obi-wan,,I'm open to suggestions here.,61 INT. HALLWAY-TRADE FEDERATION CRUISER,,3,im open to suggestions here
palpatine,,"Why don't we let them take us to General Grievous. Perhaps with Count Dooku's demise, we can negotiate our release.",61 INT. HALLWAY-TRADE FEDERATION CRUISER,,3,why dont we let them take us to general grievous perhaps with count dookus demise we can negotiate our release
anakin,,I say... patience.,61 INT. HALLWAY-TRADE FEDERATION CRUISER,,3,i say patience
obi-wan,,"Patience! That's your plan, is it?",61 INT. HALLWAY-TRADE FEDERATION CRUISER,,3,patience thats your plan is it
anakin,,"Yes, ARTOO will be along in a few moments and he'll release the ray shields...",61 INT. HALLWAY-TRADE FEDERATION CRUISER,,3,yes artoo will be along in a few moments and hell release the ray shields
anakin,,(continuing) See! No problem.,61 INT. HALLWAY-TRADE FEDERATION CRUISER,,3,continuing see no problem
super battle droid,,"Don't move, dummy. Ouch! Zap this.",61 INT. HALLWAY-TRADE FEDERATION CRUISER,,3,dont move dummy ouch zap this
obi-wan,,Do you have a plan B?,61 INT. HALLWAY-TRADE FEDERATION CRUISER,,3,do you have a plan b
general grievous,,"Oh yes. General Kenobi, the Negotiator. We've been waiting for you. That wasn't much of a rescue.",61 INT. HALLWAY-TRADE FEDERATION CRUISER,,3,oh yes general kenobi the negotiator weve been waiting for you that wasnt much of a rescue
obi-wan,,That depends upon your point of view. Hah!,61 INT. HALLWAY-TRADE FEDERATION CRUISER,,3,that depends upon your point of view hah
general grievous,,And Anakin Skywalker... I was expecting someone with your reputation to be a little older.,61 INT. HALLWAY-TRADE FEDERATION CRUISER,,3,and anakin skywalker i was expecting someone with your reputation to be a little older
anakin,,General Grievous... Supreme Commander of the Droid Armies. You're shorter than I expected.,61 INT. HALLWAY-TRADE FEDERATION CRUISER,,3,general grievous supreme commander of the droid armies youre shorter than i expected
general grievous,,"Ahhhh, Jedi scum...",61 INT. HALLWAY-TRADE FEDERATION CRUISER,,3,ahhhh jedi scum
obi-wan,,"Anakin, try not to upset him. We have a job to do.",61 INT. HALLWAY-TRADE FEDERATION CRUISER,,3,anakin try not to upset him we have a job to do
general grievous,,Your lightsabers will make a fine addition to my collection.,61 INT. HALLWAY-TRADE FEDERATION CRUISER,,3,your lightsabers will make a fine addition to my collection
obi-wan,,Not this time. And this time you won't escape.,61 INT. HALLWAY-TRADE FEDERATION CRUISER,,3,not this time and this time you wont escape
anakin,,ARTOO.,61 INT. HALLWAY-TRADE FEDERATION CRUISER,,3,artoo
general grievous,,Crush them! Make them suffer!,61 INT. HALLWAY-TRADE FEDERATION CRUISER,,3,crush them make them suffer
general grievous,,Stay and watch your stations.,61 INT. HALLWAY-TRADE FEDERATION CRUISER,,3,stay and watch your stations
pilot,,"Sir, we are falling out of orbit. All aft control cells are dead.",61 INT. HALLWAY-TRADE FEDERATION CRUISER,,3,sir we are falling out of orbit all aft control cells are dead
general grievous,,Stay on course... Don't bother with them. Keep the ship in orbit.,61 INT. HALLWAY-TRADE FEDERATION CRUISER,,3,stay on course dont bother with them keep the ship in orbit
general grievous,,"You lose, General Kenobi.",61 INT. HALLWAY-TRADE FEDERATION CRUISER,,3,you lose general kenobi
pilot,,The ship is breaking up!,61 INT. HALLWAY-TRADE FEDERATION CRUISER,,3,the ship is breaking up
general grievous,,We've run out of time.,61 INT. HALLWAY-TRADE FEDERATION CRUISER,,3,weve run out of time
palpatine,,The hull is burning up!,63 INT. BRIDGE-TRADE FEDERATION CRUISER,,3,the hull is burning up
general grievous,,Time to abandon ship.,65 INT. POD BAY-TRADE FEDERATION CRUISER-SPACE,,3,time to abandon ship
anakin,,All the escape pods have been launched.,67 INT. BRIDGE-TRADE FEDERATION CRUISER,,3,all the escape pods have been launched
obi-wan,,Grievous. Can you fly a cruiser like this?,67 INT. BRIDGE-TRADE FEDERATION CRUISER,,3,grievous can you fly a cruiser like this
anakin,,"You mean, do I know how to land what's left of this thing?",67 INT. BRIDGE-TRADE FEDERATION CRUISER,,3,you mean do i know how to land whats left of this thing
obi-wan,,Well?,67 INT. BRIDGE-TRADE FEDERATION CRUISER,,3,well
anakin,,"Under the circumstances, I'd say the ability to pilot this thing is irrelevant. Strap yourselves in.",67 INT. BRIDGE-TRADE FEDERATION CRUISER,,3,under the circumstances id say the ability to pilot this thing is irrelevant strap yourselves in
obi-wan,,Steady... Attitude... eighteen degrees.,67 INT. BRIDGE-TRADE FEDERATION CRUISER,,3,steady attitude eighteen degrees
anakin,,"Pressure rising. We've got to slow this wreck down. Open all hatches, extend all flaps, and drag fins.",67 INT. BRIDGE-TRADE FEDERATION CRUISER,,3,pressure rising weve got to slow this wreck down open all hatches extend all flaps and drag fins
obi-wan,,"Temp steady. Hatches open, flaps extended, drag fins...",67 INT. BRIDGE-TRADE FEDERATION CRUISER,,3,temp steady hatches open flaps extended drag fins
anakin,,We lost something.,67 INT. BRIDGE-TRADE FEDERATION CRUISER,,3,we lost something
obi-wan,,"Not to worry, we're still flying half the ship.",67 INT. BRIDGE-TRADE FEDERATION CRUISER,,3,not to worry were still flying half the ship
anakin,,Now we're really picking up speed... I'm going to shift a few degrees and see if I can slow us down.,67 INT. BRIDGE-TRADE FEDERATION CRUISER,,3,now were really picking up speed im going to shift a few degrees and see if i can slow us down
obi-wan,,Careful... we're heating up-twelve thousand... thirteen thousand...,67 INT. BRIDGE-TRADE FEDERATION CRUISER,,3,careful were heating uptwelve thousand thirteen thousand
anakin,,What's our speed?,67 INT. BRIDGE-TRADE FEDERATION CRUISER,,3,whats our speed
obi-wan,,"Eight plus sixty-forty. Eight plus sixty-twenty. Eight plus sixty. Temp ten thousand, nine thousand... we're in the atmosphere...",67 INT. BRIDGE-TRADE FEDERATION CRUISER,,3,eight plus sixtyforty eight plus sixtytwenty eight plus sixty temp ten thousand nine thousand were in the atmosphere
anakin,,Grab that... Keep us level.,67 INT. BRIDGE-TRADE FEDERATION CRUISER,,3,grab that keep us level
obi-wan,,Steady. Steady.,67 INT. BRIDGE-TRADE FEDERATION CRUISER,,3,steady steady
anakin,,"Easy, ARTOO. Hang on, this may get a little rough. We lost our heat shields.",67 INT. BRIDGE-TRADE FEDERATION CRUISER,,3,easy artoo hang on this may get a little rough we lost our heat shields
obi-wan,,Five thousand. Three thousand... two thousand. Fireships on the left and the right.,67 INT. BRIDGE-TRADE FEDERATION CRUISER,,3,five thousand three thousand two thousand fireships on the left and the right
flreship pilot,,We'll take you in.,67 INT. BRIDGE-TRADE FEDERATION CRUISER,,3,well take you in
obi-wan,,Copy that. Landing strip's straight ahead.,67 INT. BRIDGE-TRADE FEDERATION CRUISER,,3,copy that landing strips straight ahead
anakin,,We're coming in too hot.,67 INT. BRIDGE-TRADE FEDERATION CRUISER,,3,were coming in too hot
obi-wan,,Easy-easy.,67 INT. BRIDGE-TRADE FEDERATION CRUISER,,3,easyeasy
obi-wan,,Another happy landing.,68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,another happy landing
anakin,,"(to Obi-Wan) Are you coming, Master?",68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,to obiwan are you coming master
obi-wan,,"Oh no. I'm not brave enough for politics. I have to report to the Council. Besides, someone needs to be the poster boy.",68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,oh no im not brave enough for politics i have to report to the council besides someone needs to be the poster boy
anakin,,"Hold on, this whole operation was your idea. You planned it. You led the rescue operation. You have to be the one to take the bows this time.",68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,hold on this whole operation was your idea you planned it you led the rescue operation you have to be the one to take the bows this time
obi-wan,,"Sorry, old friend. Let us not forget that you rescued me from the Buzz Droids. And you killed Count Dooku. And you rescued the Chancellor, carrying me unconscious on your back, and you managed to land that bucket of bolts safely...",68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,sorry old friend let us not forget that you rescued me from the buzz droids and you killed count dooku and you rescued the chancellor carrying me unconscious on your back and you managed to land that bucket of bolts safely
anakin,,"All because of your training, Master. You deserve all those speeches of your greatness.",68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,all because of your training master you deserve all those speeches of your greatness
obi-wan,,"... the endless speeches... Anakin, let's be fair. Today, you are the hero and you deserve your glorious day with the politicians.",68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3, the endless speeches anakin lets be fair today you are the hero and you deserve your glorious day with the politicians
anakin,,All right. But you owe me... and not for saving your skin for the tenth time...,68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,all right but you owe me and not for saving your skin for the tenth time
obi-wan,,Ninth time... that business on Cato Nemoidia doesn't count. I'll see you at the briefing.,68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,ninth time that business on cato nemoidia doesnt count ill see you at the briefing
mace windu,,"Chancellor Palpatine, what a welcome sight! Are you all right?",68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,chancellor palpatine what a welcome sight are you all right
palpatine,,"Yes, thanks to your two Jedi Knights. They killed Count Dooku, but General Grievous has escaped once again.",68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,yes thanks to your two jedi knights they killed count dooku but general grievous has escaped once again
mace windu,,General Grievous will run and hide as he always does. He is a coward.,68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,general grievous will run and hide as he always does he is a coward
palpatine,,"That maybe true, but with Count Dooku dead, he is the leader of the Droid Army, and I assure you, the Senate will vote to continue the war as long as Grievous is alive.",68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,that maybe true but with count dooku dead he is the leader of the droid army and i assure you the senate will vote to continue the war as long as grievous is alive
mace windu,,Then the Jedi Council will make finding Grievous our highest priority.,68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,then the jedi council will make finding grievous our highest priority
bail organa,,"Skywalker, the Republic cannot praise you enough.",68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,skywalker the republic cannot praise you enough
anakin,,"Thank you, Senator Organa. The kidnapping was a bold move by the Separatists, but it was a mistake that Obi-Wan and I were able to take advantage of.",68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,thank you senator organa the kidnapping was a bold move by the separatists but it was a mistake that obiwan and i were able to take advantage of
c-3po,,It couldn't possibly be as bad as all that.,68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,it couldnt possibly be as bad as all that
c-3po,,"(continuing) Well, there, I agree with you. In fact, I could do with a tune-up myself.",68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,continuing well there i agree with you in fact i could do with a tuneup myself
bail organa,,"The end of Count Dooku will surely bring an end to this war, and an end to the Chancellor's draconian security measures.",68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,the end of count dooku will surely bring an end to this war and an end to the chancellors draconian security measures
anakin,,"I wish that were so, but the fighting is going to continue until General Grievous is spare parts... The Chancellor is very clear about that.",68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,i wish that were so but the fighting is going to continue until general grievous is spare parts the chancellor is very clear about that
bail organa,,I'll do everything I can with the Senate.,68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,ill do everything i can with the senate
anakin,,Excuse me.,68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,excuse me
bail organa,,Certainly.,68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,certainly
padme,,"Oh, Anakin! Thank goodness, you're back.",68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,oh anakin thank goodness youre back
anakin,,"I missed you, Padme. I've missed you so.",68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,i missed you padme ive missed you so
padme,,There were whispers... that you'd been killed. I've been living with unbearable dread.,68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,there were whispers that youd been killed ive been living with unbearable dread
anakin,,"I'm back, I'm all right. It feels like we've been apart for a lifetime. And it might have been... If the Chancellor hadn't been kidnapped. I don't think they would have ever brought us back from the Outer Rim sieges.",68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,im back im all right it feels like weve been apart for a lifetime and it might have been if the chancellor hadnt been kidnapped i dont think they would have ever brought us back from the outer rim sieges
padme,,"Wait, not here...",68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,wait not here
anakin,,"Yes, here! I'm tired of all this deception. I don't care if they know we're married.",68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,yes here im tired of all this deception i dont care if they know were married
padme,,"Anakin, don't say things like that. You're important to the Republic... to ending this war. I love you more than anything, but I won't let you give up your life as a Jedi for me...",68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,anakin dont say things like that youre important to the republic to ending this war i love you more than anything but i wont let you give up your life as a jedi for me
anakin,,"I've given my life to the Jedi order, but I'd only give up my life, for you.",68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,ive given my life to the jedi order but id only give up my life for you
padme,,"(playfully) I wouldn't like that. I wouldn't like that one bit. Patience, my handsome Jedi... Come to me later.",68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,playfully i wouldnt like that i wouldnt like that one bit patience my handsome jedi come to me later
anakin,,Are you all right? You're trembling. What's going on?,68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,are you all right youre trembling whats going on
padme,,I'm just excited to see you.,68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,im just excited to see you
anakin,,That's not it. I sense more... what is it?,68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,thats not it i sense more what is it
padme,,Nothing... nothing...,68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,nothing nothing
anakin,,You're frightened. (a little angry) Tell me what's going on!,68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,youre frightened a little angry tell me whats going on
padme,,You've been gone five months... it's been very hard for me. I've never felt so alone. There's...,68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,youve been gone five months its been very hard for me ive never felt so alone theres
anakin ,,... Is there someone else?,68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3, is there someone else
padme,,"(peeved, angry) No! Why do you think that? Your jealousy upsets me so much, Anakin. I do nothing to betray you, yet you still don't trust me. Nothing has changed.",68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,peeved angry no why do you think that your jealousy upsets me so much anakin i do nothing to betray you yet you still dont trust me nothing has changed
anakin,,"(sheepish) I'm afraid of losing you, Padme... that's all.",68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,sheepish im afraid of losing you padme thats all
padme,,"I will never stop loving you, Anakin. My only fear is losing you.",68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,i will never stop loving you anakin my only fear is losing you
anakin,,It's just that I've never seen you like this...,68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,its just that ive never seen you like this
padme,,Something wonderful has happened.,68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,something wonderful has happened
padme,,"(continuing) I'm... Annie, I'm pregnant.",68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,continuing im annie im pregnant
anakin,,That's... that's wonderful.,68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,thats thats wonderful
padme,,What are we going to do?,68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,what are we going to do
anakin,,"We're not going to worry about anything right now, all right? This is a happy moment. The happiest moment of my life.",68 EXT. CORUSCANT-INDUSTRIAL LANDING PLATFORM-AFTERNOON,,3,were not going to worry about anything right now all right this is a happy moment the happiest moment of my life
super battle droid g21,,"The planet is secure, sir. The population is under control.",71 EXT. UTAPAU-LANDING PLATFORM-DAY,,3,the planet is secure sir the population is under control
general grievous,,Good. Where is the Separatist Council?,71 EXT. UTAPAU-LANDING PLATFORM-DAY,,3,good where is the separatist council
super battle droid g21,,"This way, sir...",71 EXT. UTAPAU-LANDING PLATFORM-DAY,,3,this way sir
general grievous,,"Yes, Lord Sidious.",72 INT. UTAPAU-CONFERENCE ROOM-GRAND CHAMBER-DAY,,3,yes lord sidious
darth sldious,,"General Grievous, I suggest you move the Separatist leaders to Mustafar.",72 INT. UTAPAU-CONFERENCE ROOM-GRAND CHAMBER-DAY,,3,general grievous i suggest you move the separatist leaders to mustafar
general grievous,,"It will be done, My Lord.",72 INT. UTAPAU-CONFERENCE ROOM-GRAND CHAMBER-DAY,,3,it will be done my lord
darth sldious,,"The end of the war is near, General, and I promise you, victory is assured.",72 INT. UTAPAU-CONFERENCE ROOM-GRAND CHAMBER-DAY,,3,the end of the war is near general and i promise you victory is assured
general grievous,,But the loss of Count Dooku?,72 INT. UTAPAU-CONFERENCE ROOM-GRAND CHAMBER-DAY,,3,but the loss of count dooku
darth sldious,,"His death was a necessary loss, which will ensure our victory. Soon I will have a new apprentice... one far younger and more powerful than Lord Tyranus.",72 INT. UTAPAU-CONFERENCE ROOM-GRAND CHAMBER-DAY,,3,his death was a necessary loss which will ensure our victory soon i will have a new apprentice one far younger and more powerful than lord tyranus
anakin ,,".... every second I was thinking of you. Protecting the endless, nameless Outer Rim settlements became a torture... the battles were easy, the longing became unbearable... I've never been so happy as I am at this moment.",73 INT. CORUSCANT-PADME'S APARTMENT-TWILIGHT,,3, every second i was thinking of you protecting the endless nameless outer rim settlements became a torture the battles were easy the longing became unbearable ive never been so happy as i am at this moment
padme,,"Annie, I want to have our baby back home on Naboo. We could go to the lake country where no one would know... where we would be safe. I could go early-and fix up the baby's room. I know the perfect spot, right by the gardens.",73 INT. CORUSCANT-PADME'S APARTMENT-TWILIGHT,,3,annie i want to have our baby back home on naboo we could go to the lake country where no one would know where we would be safe i could go earlyand fix up the babys room i know the perfect spot right by the gardens
anakin,,You are so beautiful!,73 INT. CORUSCANT-PADME'S APARTMENT-TWILIGHT,,3,you are so beautiful
padme,,It's only because I'm so in love...,73 INT. CORUSCANT-PADME'S APARTMENT-TWILIGHT,,3,its only because im so in love
anakin,,"No, it's because I'm so in love with you.",73 INT. CORUSCANT-PADME'S APARTMENT-TWILIGHT,,3,no its because im so in love with you
padme,,So love has blinded you?,73 INT. CORUSCANT-PADME'S APARTMENT-TWILIGHT,,3,so love has blinded you
anakin,,"Well, that's not exactly what I meant...",73 INT. CORUSCANT-PADME'S APARTMENT-TWILIGHT,,3,well thats not exactly what i meant
padme,,But it's probably true!,73 INT. CORUSCANT-PADME'S APARTMENT-TWILIGHT,,3,but its probably true
anakin,,I haven't laughed in so long...,73 INT. CORUSCANT-PADME'S APARTMENT-TWILIGHT,,3,i havent laughed in so long
padme,,Neither have I.,73 INT. CORUSCANT-PADME'S APARTMENT-TWILIGHT,,3,neither have i
padme,,"Anakin, help me! Help, Anakin! Anakin, I love you. I love you.",74 INT. POLIS MASSA-MEDICAL CENTER-DREAM,,3,anakin help me help anakin anakin i love you i love you
padme,,Anakin??,75 INT. CORUSCANT-PADME'S APARTMENT-BEDROOM-NIGHT,,3,anakin
padme,,What's bothering you?,76 EXT. CORUSCANT-PADME'S APARTMENT-VERANDA-NIGHT,,3,whats bothering you
anakin,,Nothing...,76 EXT. CORUSCANT-PADME'S APARTMENT-VERANDA-NIGHT,,3,nothing
anakin,,(continuing) I remember when I gave this to you.,76 EXT. CORUSCANT-PADME'S APARTMENT-VERANDA-NIGHT,,3,continuing i remember when i gave this to you
padme,,"Anakin, how long is it going to take for us to be honest with each other?",76 EXT. CORUSCANT-PADME'S APARTMENT-VERANDA-NIGHT,,3,anakin how long is it going to take for us to be honest with each other
anakin,,It was a dream.,76 EXT. CORUSCANT-PADME'S APARTMENT-VERANDA-NIGHT,,3,it was a dream
padme,,Bad?,76 EXT. CORUSCANT-PADME'S APARTMENT-VERANDA-NIGHT,,3,bad
anakin,,Like the ones I used to have about my mother just before she died.,76 EXT. CORUSCANT-PADME'S APARTMENT-VERANDA-NIGHT,,3,like the ones i used to have about my mother just before she died
padme,,And?,76 EXT. CORUSCANT-PADME'S APARTMENT-VERANDA-NIGHT,,3,and
anakin,,It was about you.,76 EXT. CORUSCANT-PADME'S APARTMENT-VERANDA-NIGHT,,3,it was about you
